"UF";"MUNICÍPIO";"Estabelecimento";"Endereço";"telefone";"Cod IBGE";"HORÁRIO DE FUNCIONAMENTO"
"SP";"RIBEIRAO PRETO";"HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO";"CAMPUS UNIVERSITARIO, S/N, MONTE ALEGRE";"(16)3602-1000";354340;"Sempre aberto"
"RS";"PORTO ALEGRE";"HOSPITAL DE CLINICAS";"RUA RAMIRO BARCELOS, 2350, SANTANA";"(51) 3359-8000";431490;"Sempre aberto"
"PE";"PETROLINA";"HOSPITAL DOM MALAN";"AVENIDA JOAQUIM NABUCO, S/N, CENTRO";"NI";261110;"NI"
"RN";"NATAL";"HOSPITAL DR JOSE PEDRO BEZERRA";"RUA ARAQUARI, S/N, POTENGI";"(84)3232-7748";240810;"Sempre aberto"
"CE";"FORTALEZA";"HOSPITAL E MATERNIDADE DRA ZILDA ARNS NEUMANN";"AVENIDA LINEU MACHADO, 145, JOQUEI CLUBE";"(85)3233-3954";230440;"Sempre aberto"
"ES";"COLATINA";"HOSPITAL E MATERNIDADE SAO JOSE";"LADEIRA CRISTO REI, 514, CENTRO";"(27)2102-2102";320150;"Sempre aberto"
"RS";"PORTO ALEGRE";"HOSPITAL FEMINA SA";"RUA MOSTARDEIRO, 17, RIO BRANCO";"(51)3314-5200";431490;"Sempre aberto"
"RS";"CAXIAS DO SUL";"HOSPITAL GERAL";"RUA PROFESSOR ANTONIO VIGNOLLI, 255, PETROPOLIS";"(54)3218-7200";430510;"Sempre aberto"
"MG";"BELO HORIZONTE";"HOSPITAL JULIA KUBITSCHEK";"AV DR CRISTIANO RESENDE, 2745, ARAGUAIA";"(31)3389-7800";310620;"Sempre aberto"
"GO";"GOIANIA";"HOSPITAL MATERNO INFANTIL";"RUA R7 COM AVENIDA PERIMETRAL, S/N, OESTE";"(62)3956-2900";520870;"NI"
"DF";"BRASILIA";"HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB";"AV L2 SUL QUADRA 608 MODULO A, N2, ASA SUL";"(61)3445-7500";530010;"NI"
"RR";"BOA VISTA";"HOSPITAL MATERNO INFANTIL N SRA DE NAZARETH";"AV PRESIDENTE COSTA E SILVA, 1100, SAO FRANCISCO";"(95)4009- 4900";140010;"Sempre aberto"
"RS";"PORTO ALEGRE";"HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS";"AV INDEPENDENCIA, 661, INDEPENDENCIA";"(51)3289-3000";431490;"Sempre aberto"
"GO";"ITUMBIARA";"HOSPITAL MUNICIPAL MODESTO DE CARVALHO";"JOAO HENRIQUE DUARTE, S/N, ALTO DA BOA VISTA";"(62)3433-0300";521150;"Sempre aberto"
"MG";"BELO HORIZONTE";"HOSPITAL MUNICIPAL ODILON BHERENS";"RUA FORMIGA, 50, SAO CRISTOVAO";"(31)3277-6181";310620;"Sempre aberto"
"CE";"JUAZEIRO DO NORTE";"HOSPITAL MUNICIPAL SAO LUCAS";"RUA SAO BENEDITO, 243, SAO MIGUEL";"(88)3587-3352";230730;"Sempre aberto"
"RS";"PORTO ALEGRE";"HOSPITAL NOSSA SENHORA DA CONCEICAO";"AV FRANCISCO TREIN, 596, CRISTO REDENTOR";"(51)3357-2000";431490;"Sempre aberto"
"PE";"SERRA TALHADA";"HOSPITAL PROFESSOR AGAMENON MAGALHAES";"RUA COMANDANTE SUPERIOR, 955, ";"(87)3831-9600";261390;"Sempre aberto"
"PA";"BELEM";"HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PINOTTI";"TV 14 DE MARCO, 500, UMARIZAL";"(91)3184-6301";150140;"NI"
"RJ";"MACAE";"HOSPITAL PUBLICO MUNICIPAL DE MACAE";"ROD RJ 168, S/N, VIRGEM SANTA";"(22)2773-0061";330240;"Sempre aberto"
"SC";"SAO JOSE";"HOSPITAL REGIONAL DE SAO JOSE DR HOMERO MIRANDA GOMES";"RUA ADOLFO DONATO DA SILVA, S/N, PRAIA COMPRIDA";"(48)3271-9023";421660;"Sempre aberto"
"AM";"TEFE";"HOSPITAL REGIONAL DE TEFE";"ESTRADA DA BEXIGA, S/N, FONTE BOA";"(92)3343-2446";130420;"NI"
"AM";"PARINTINS";"HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN";"RUA HERBERTH DE AZEVEDO, 985, SANTA CLARA";"(92)3533-4158";130340;"Sempre aberto"
"SC";"BLUMENAU";"HOSPITAL SANTO ANTONIO";"RUA ITAJAI, 545, VORSTADT";"(47)3231-4000";420240;"Sempre aberto"
"GO";"CERES";"HOSPITAL SAO PIO X";"PRACA SAO PIO X, 1, CENTRO";"(62)3323-1831";520540;"NI"
"SC";"FLORIANOPOLIS";"HOSPITAL UNIVERSITARIO";"AMPUS UNIVERSITARIO, S/N, TRINDADE";"(48) 3721-9165";420540;"Sempre aberto"
"MA";"SAO LUIS";"HOSPITAL UNIVERSITARIO HUUFMA";"RUA BARAO DE ITAPARY, 227, CENTRO";"(98)3219-1017";211130;"NI"
"MT";"CUIABA";"HOSPITAL UNIVERSITARIO JULIO MULLER";"RUA LUIS FELIPE PERREIRA LEITE, S/N, ALVORADA";"(65) 3615-7300";510340;"NI"
"DF";"CEILANDIA";"HOSPITAL REGIONAL DE CEILANDIA";"AREA ESPECIAL 1, QNM 27, CEILANDIA SUL";"(61)3371-3444";530040;"NI"
"DF";"GAMA";"HOSPITAL REGIONAL DO GAMA";"AREA ESPECIAL SN 01, SETOR CENTRAL, BRASILIA";"(61)3385-9700";530060;"NI"
"ES";"PINHEIROS";"IESP HOSPITAL DE PINHEIROS";"RUA DR LOBATO, S/N, CENTRO";"(27)3765-2155";320410;"Sempre aberto"
"AM";"MANAUS";"INSTITUTO DA MULHER DONA LINDU";"RUA MARIO YPIRANGA, 1581, ADRIANOPOLIS";"NI";130260;"Sempre aberto"
"BA";"SALVADOR";"INSTITUTO DE PERINATOLOGIA DA BAHIA";"RUA TEIXEIRA DE BARROS, 72, BROTAS";"(71)3116-5216";292740;"NI"
"PB";"CAMPINA GRANDE";"INSTITUTO DE SAUDE ELPIDIO DE ALMEIDA";"VILA NOVA DA RAINHA, 147, CENTRO";"(83)3310-6356";250400;"NI"
"PB";"JOAO PESSOA";"MATERNIDADE CANDIDA VARGAS";"AV COREMAS, S/N, JAGUARIBE";"(83)3015-1500";250750;"NI"
"MA";"CAXIAS";"MATERNIDADE CARMOSINA COUTINHO";"AVENIDA VALTER BRITO, S/N, CAMPO DE BELEM";"(99)3521-1297";210300;"Sempre aberto"
"SC";"JOINVILLE";"MATERNIDADE DARCY VARGAS";"RUA MIGUEL COUTO, 44, ANITA GARIBALDI";"(47) 3461-5700";420910;"NI"
"AC";"RIO BRANCO";"MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA";"AVENIDA GETULIO VARGAS, 811, CENTRO";"(68) 3224-1290";120040;"NI"
"CE";"FORTALEZA";"MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND";"RUA CORONEL NUNES DE MELO, S/N, RODOLFO TEOFILO";"(85)3366-8500";230440;"Sempre aberto"
"RN";"NATAL";"MATERNIDADE ESCOLA JANUARIO CICCO";"AVENIDA NILO PECANHA, 259, PETROPOLIS";"(84)3215-4400";240810;"Sempre aberto"
"MG";"BELO HORIZONTE";"MATERNIDADE ODETE VALADARES";"AVENIDA DO CONTORNO, 9494, PRADO";"(31)3298-6002";310620;"Sempre aberto"
"GO";"ITUMBIARA";"NABS";"RUA WILSON BARBOSA, 325,  JARDIM AMERICA";"(64) 3431-8619";521150;"NI"
"ES";"ALFREDO CHAVES";"PRONTO ATENDIMENTO MUNICIPAL KLINGER MINASSA";"RUA MOACIR SAUDINO, S/N, CENTRO";"(27)3269-2315";320030;"Sempre aberto"
"PR";"CAMBE";"SANTA CASA DE MISERICORDIA DE CAMBE";"RUA SUISSA, 220, CENTRO";"(43)3174-3100";410370;"Sempre aberto"
"PA";"BELEM";"SANTA CASA DE MISERICORDIA DO PARA";"RUA OLIVEIRA BELO, 395, UMARIZAL";"(91)4009-2241";150140;"NI"
"RJ";"RIO DE JANEIRO";"SMS HOSPITAL MATERNIDADE FERNANDO MAGALHAES";"RUA GENERAL JOSE CRISTINO, 87, SAO CRISTOVAO";"(21) 3878-1845";330455;"Sempre aberto"
"RJ";"RIO DE JANEIRO";"SMS HOSPITAL MUNICIPAL ROCHA FARIA";"AV CESARIO DE MELO, 3215, CAMPO GRANDE";"(21)2333-6797";330455;"Sempre aberto"
"DF";"CANDANGOLANDIA";"UBS 01 CANDANGOLANDIA";"EQ 5 7 AREA ESPECIAL 38, CANDANGOLANDIA";"(61)3301-6221";530030;"NI"
"MG";"BELMIRO BRAGA";"UNIDADE B DE SAUDE DR CLAUDIONOR VALLE FERREIRA";"RUA JOANA CLAUDINA, 457, CENTRO";"(32)3284-1121";310610;"Sempre aberto"
"PA";"ANAPU";"UNIDADE MISTA DE SAUDE DE ANAPU";"RUA SANTO AGOSTINHO, S/N, IMPERATRIZ";"(91)3694-1757";150085;"Sempre aberto"
"GO";"EDEIA";"UNIDADE MISTA DE SAUDE EDEIA CLAUDIO MARTINS PIRES";"RUA 2 QD 4 LT 5, S/N, ELITE";"(64) 3492-2124";520740;"Sempre aberto"
"PE";"RECIFE";"US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES";"AV DOIS RIOS, S/N, IBURA";"(81)3355-1815/1820";261160;"NI"
"PE";"RECIFE";"US 159 POLICLINICA AGAMENON MAGALHAES";"PRACA DA PAZ, S/N, AFOGADOS";"(81) 3355-2339/2340";261160;"NI"
"PE";"RECIFE";"US 165 MATERNIDADE BANDEIRA FILHO";"RUA LONDRINA, S/N, AFOGADOS";"(81)3355-2230/2225";261160;"NI"
"PE";"RECIFE";"US 167 UNIDADE MISTA PROF BARROS LIMA";"AV NORTE, 6465, CASA AMARELA";"(81) 3355-2169/2167";261160;"NI"
