"OPMS";"UF";"Município";"Nome da Unidade";"Email";"Telefone";"Endereço";"Nível";"Região";"data atualização"
;"AL";"MACEIÓ";"Coordenação de Ações Garantidoras dos Direitos das Mulheres vitimas de violência";"superintendenciamulheral@hotmail.com ";"(82) 3315-2121/ 1792 / 8752-8848 /3315-3733";"Rua Antônio Gerbase, no.83, Pitanguinha (em frente à Casa da Adoção). Maceió/AL. CEP: 57.020-330";"Capital";"Nordeste";
;"AL";"Arapiraca";"Secretaria Municipal de Políticas para  Mulheres";"smpmarapiraca@gmail.com ";"(82) 3539-4017/ (82) 99851877 (Hyseth)/ (82) 99750898 (Betejane)";"Av. Deputada Ceci Cunha, no.23. Alto do Cruzeiro Arapiraca/AL. CEP 57.312-310";"Municipal";"Nordeste";
;"AL";"Feira Grande";"Secretaria Especial de Políticas para as Mulheres ";"soaresluciasilva@hotmail.com";"(82) 99956-0807 (Maria Lucia)/99447521(Veridiano – sobrinho)";"Rua 7 de setembro, S/N, Centro. Feira Grande/AL. CEP:  57.330-000";0;"Nordeste";
;"AL";"Barra de Santo Antônio";"Secretaria Municipal da Mulher";;"(82) 88384785 (Marcela)";"Av. Pedro Cavalcante, 617, Centro, Barra de Santo Antônio/AL";"Municipal";"Nordeste";
;"AL";"Branquinha ";"Coordenadoria de Políticas para as Mulheres";"stasbranquinha@hotmail.com ";"(82) 81567171 (Edjane)/3280-1183 (Secretaria de Assistência Social)";"Rodovia BR-104 km 47, Centro, Branquinha/AL. CEP: 57.240-000";"Municipal";"Nordeste";
;"AL";"Cajueiro";"Coordenadoria  Especial de Promoção às Políticas Femininas ";;"(82) 3284-1470 (Coordenadoria ) / (82) 99910935 (Maria Inês)";"Rua João Teixeira Costa, No 03, Centro, Cajueiro/AL. CEP: 57700-000";"Municipal";"Nordeste";
;"AL";"Campo Alegre";"Secretaria Municipal da Mulher";"smjidoso@hotmail.com ";"(82) 99573826 (Jane) / (82) 98094324 (Institucional – TIM)";"Avenida Divaldo Soroagy, nº 139. Centro.Campo Alegre/AL. CEP: 77.250-000";"Municipal";"Nordeste";16/4/2014
;"AL";"Coruripe";"Núcleo de Apoio à Política da Mulher";"semtas.coruripe@hotmail.com";"(82) 3273-1045/ (82): 81359300 (Verônica – Vivo)/ 91484008 (Verônica – Claro) ";"Rua Boa Vista, s/n, Centro, Coruripe/AL. CEP:  57.230-000";"Municipal";"Nordeste";16/4/2014
;"AL";"Japaratinga";"Coordenadoria de Políticas para as Mulheres";;"(82) 93402526";"Rua José Vitoriano da Silva, 113.CentroJaparatinga/PE. CEP: 57950-000";"Municipal";"Nordeste";
;"Al";"Junqueiro";"Coordenadoria  de  Politicas para as Mulheres";;"(82) 99386077/ (82) 3541-1573 (Secretaria de Assistência Social)";"Rua Frei Pascásio,s/n. Centro. Junqueiro/AL. CEP: 57.270-000";"Municipal";"Nordeste";"08/01/2015 (inf.da sec estadual de AL)"
;"AL";"Mar Vermelho";"Secretaria Municipal de Políticas Públicas para as Mulheres ";;"(82) 91850965 (Gileusa)";"Rua Delfino Filho, s/n, Centro, Mar Vermelho/AL. CEP: 57.730-000";"Municipal";"Nordeste";
;"AL";"Olhos D'água das Flores";"Coordenadoria de Políticas para as Mulheres";;"(82) 99864560 (Maria Cleane)/3623-1263 (Cras)";"Rua Cônego José Bulhões, 848.Centro. Olhos D'Água das Flores/AL. CEP: 57442-000";"Municipal";"Nordeste";
;"AL";"Palmeira dos Indios";"Diretoria da Mulher";;"(82) 96503750 (Márcia)/ (82) 3325-7849 (Márcia)";"Rua Antônio Capitulino Vasconcelos, No.85, Centro, 1º andar, Palmeira dos Índios/AL. CEP: 57.600-430";"Municipal";"Nordeste";
;"AL";"Passo de Camaragibe";"Coordenadoria  da Mulher";;"(82) 3258-1111 / 99620-0000";"Rua São Sebastião, s/nº. Centro. Passo de Camaragibe/AL. CEP: 57.930-000";"Municipal";"Nordeste";"26/01/2015 (Inf. Ligue 180)"
;"Al";"Penedo";"Coordenadoria  da Mulher";"semthas.penedoal@hotmail ";"82) 3551-6927 3551-3813  9675-1000";"Av. Getulio Vargas, 589 Centro. Penedo/Al. CEP: 57.200-000";"Municipal";"Nordeste";
;"AL";"Piaçabuçu";"Coordenadoria de Políticas para as Mulheres";"senashpiacabucu@gmail.com.br";" (82) 35304310 / 35521311 / 93053557 /9645 0138";"Rua Mestre Francelino, 261, Centro, Piaçabuçu/AL CEP: 57.210-000";"Municipal";"Nordeste";16/4/2014
;"AL";"Porto Calvo";"Diretoria do Direito da Mulhe";;"(82) 99763485/88589828";"Praça Apolinário de Gusmão, nº 18. Centro. Porto Calvo/AL. CEP: 57.900-000";"Municipal";"Nordeste";
;"AL";"São José da Lage";"Coordenadoria  da Mulher";"social@saojosedalaje.al.gov.br";"(82) 3285-1130/ (82) 91017737 (Ravena) / (82) 94029968";"Rua Otília Ferreira, s/n, São José da Laje/AL. CEP:  57.860-000";"Municipal";"Nordeste";"08/01/2015 (inf.da sec estadual de AL)"
;"AL";"São Miguel dos Campos";"Secretaria Municipal da Mulher";;"(82) 32711101 / 32715190 / 99712631";"Rua José Calazas n° 89. Centro. São Miguel dos Campos/AL. CEP: 57.240-000";"Municipal";"Nordeste";
;"AL";"Teotônio Vilela";"Secretaria Municipal da Mulher e do Idoso";"secmulher_idoso@hotmail.com";"(82) 3543 - 1389 (82) 99267777";"Rua Vereador Miguel Tavares S/n centro, Teotônio Vilela/AL. CEP: 57.265-000";"Municipal";"Nordeste";16/4/2014
;"AL";"Traipu";"Secretaria Municipal de Políticas para Mulher ";;"(82) 81304418 (Quitéria)";"Rua Prefeito Luís Tavares, s/nº. Centro Traipu/AL. CEP: 57.370-000";"Municipal";"Nordeste";
22;"Alagoas";"Todas";;;;;;;
;"AM";"ESTADUAL";"Secretaria Executiva de Política para as Mulheres ";" keythfabiola@gmail.com ";"(92) 3236-9388, 3632-0554, (95) 9 8112-0391";"Rua Bento Maciel nº 2, Conjunto Centramazon, Adrianópolis, Manaus/AM Cep: 69057-350";"Estadual";"Norte";"31/102014"
;"AM";"MANAUS";"Gerência de Promoção dos Direitos da Mulher";"gerencia.mulheres@hotmail.com; maria.gloria@pmm.am.gov.br semmasdh.gabinete@hotmail.com ";"(92) 3215-3885/3245 / 9100-1378 /9 8147-4262 /98842 3232 /98842 1194rose /8842 1439 isolima 9 8842- 2930 (laura)";"Av. Ferreira Pena,  Esquina com a Av. Ayrão,  S/N, Centro - Manaus/AM CEP: 69025-005";"Capital";"Norte";
;"AM";"Anori";"Secretaria Municipal de Políticas para as Mulheres";;"(97) 8806-7320 (92) 9228-2118 ";"Avenida Nossa Senhora do Perpetuo Socorro. Centro Anorí/AM CEP:  69.440-000";"Municipal";"Norte";25/4/2014
;"AM";"Borba";"Coordenadoria  Municipal da Mulher";"cmpmborba@outlook.com ";"(97) 9422-2440 8828-3844";"Av. 13 de Maio, nº 108 - Centro Borba/AM. CEP. 60200-000";"Municipal";"Norte";
;"AM";"Canutama";"Secretaria Especial de Políticas para as Mulheres ";;"(97) 9150-7745 (97) 9407-8863";"Rua Floriano Peixoto, 451 - Centro - 69820-000 Canutama/AM";"Municipal";"Norte";
;"AM";"Coari";"Secretaria Municipal da Mulher e dos Direitos Humanos";"semudh.coari@hotmail.com";"(97) 8123-9385 (97) 3561-2108";"Rua Ribeiro Junior, 429, Bairro Espirito Santo - Coari/AM - CEP: 69460-000";"Municipal";"Norte";
;"AM";"Careiro Castanho";"Coordenadoria  Geral de Políticas para as Mulheres";;"(92) 9175-6915";"Av. Mário Jorge Guedes. Centro. Careiro Castanho/AM. CEP: 69250-000";"Municipal";"Norte";31/10/2014
;"AM";"Eirunepé";"Secretaria Especial de Políticas para Mulheres";"smpmeirunepe@outlook.com";"(97)9149-1556 (97)9158-0846";"Estrada do Xidó (antigo tiro de guerra), s/n - Bairro N. Sra. De Fatima Eirunepé/AM. CEP: 69.880-000";"Municipal";"Norte";
;"AM";"Itamarati";"Secretaria Municipal de Políticas para as Mulheres";;"(97) 8117-5806 (92) 9366-0045";"Rua Ozório Cavalcante, s/n - Centro  Itamarati/AM.  CEP: 69.510-000";"Municipal";"Norte";16/4/2014
;"AM";"Itapiranga";"Secretaria de Políticas Públicas para as Mulheres";;"(92) 9149 8290";"Av. Getúlio Vargas, 159. Centro.  Itapiranga/AM CEP: 69120-000";"Municipal";"Norte";
;"AM";"Parintins";;;;;;;
;"AM";"Santa Isabel do Rio Negro";"Secretaria Municipal de Políticas para as Mulheres";;"(92)9423-5237 (97) 9153-4227";"Av. Rio Negro, s/nº Centro. Santa Isabel do Rio Negro/AM CEP: 690740-000";"Municipal";"Norte";31/10/2014
;"AM";"São Gabriel da Cachoeira";"Coordenadoria  Geral de Políticas para as Mulheres";;"(97)3471-2319 (97) 98124-6729";"Av. Dom Pedro Massa 240. Centro. São Gabriel da Cachoeira/AM. CEP: 69.750-000 ";"Municipal";"Norte";22/4/2015
13;"Amazonas";"Todas";;;;;;;
;"AP";"ESTADUAL";"Secretaria Extraordinária de Políticas para Mulheres";;"(96)  32220981 / 99163-2305 / 3222-1646 - (96) 32220981 - (96) 81429216 - (96) 91893381";"Rua São José. 1570. Centro. Macapá/AP - CEP: 68.900-030  (ref. Em frente  prça do Barão)";"Estadual";"Norte";
;"AP";"MACAPÁ";"Coordenadoria  Municipal de Políticas Públicas para as Mulheres";"comulher2009@hotmail.com";"(96) 3222-4866 /  (96) 99127 2661";"Avenida Procópio Rola, nº 685. Centro. Macapá/AP. CEP: 68.900-000";"Capital";"Norte";
;"AP";"Amapá";"Coordenadoria  de  Politicas para as Mulheres ";;"(96) 3421-1339";"Av. Fab. S/nº -  Município do Amapá/AP - CEP:  68950-000";"Municipal";"Norte";
;"AP";"Calçoane";"Coordenadoria  de  Politicas para as Mulheres ";;"(96)3423-1344";"ua João Anastácio dos Santos, nº 44. Liberdade. Calçoene/AP. CEP: 68.960-000";"Municipal";"Norte";
;"AP";"Cutias";"Coordenadoria  de  Politicas para as Mulheres ";;"(96) 3325-1436 / 9124-8917";"Av. 1º de maio nº 652, Cutias/AP. CEP: 68.973-000";"Municipal";"Norte";
;"AP";"Ferreira Gomes";"Coordenadoria  de  Politicas para as Mulheres ";"cmpp-fg@hotmail.com";"(96  9176-5323";"Rua Tiradentes, S/N. Centro. Ferrreira Gomes/AP. CEP: 68.915-000";"Municipal";"Norte";
;"AP";"Itaubal";"Coordenadoria  de  Politicas para as Mulheres DO MUNICÍPIO DE ITAUBAL";;"(96) 3324-1147 / (96) 9902-6354";"Av. Laurita de Almeida Barbosa, 1134. Centro. Itaubal/AP. CEP: 68.976-000";"Municipal";"Norte";
;"AP";"Laranjal do Jari";"Coordenadoria  de  Politicas para as Mulheres";;"(96) 9124-1567 / 9188-7953";"Av. Tancredo Neves, n. 2224, Agreste.  Laranjal do Jarí/AP. CEP: 68.920-971";"Municipal";"Norte";
;"AP";"Mazagão";"AssessoriaEspecial da Mulher";"semaspmmz@hotmail.com";"(96) 3271-1101 / 3217-1219 - 9135-6928";"Rua Presidente Vargas, 200 - Centro -Manzagão/AP - CEP: 68.940-000";"Municipal";"Norte";
;"AP";"Oiapoque";"Coordenadoria  Especial de Políticas Públicas para as Mulheres ";"adriana.cpmdeoiapoque@bol.com.br ";"(96) 3521-1101 (96)9903-3379/81161438";"Rua Joaquim Caetano da Silva, nº 460 - Centro - Oiapoque/AP. CEP: 68.980-000";"Municipal";"Norte";
;"AP";"Pedra Branca do Amapari";"Secretaria de Políticas para as Mulheres";;"(96) 3322-1245/1235 / 8808-8504 / 9908-2189";"Rua Deolinda Gomes, s/nº. Centro. Pedra Branca do Amapari/AP CEP: 68.945-000";"Municipal";"Norte";
;"AP";"Porto Grande";"Coordenadoria  de  Politicas para as Mulheres";;"(96) 9125-3778 / 9905-2333";"Av. Joaquim Frazão de Araújo, s/nº (ao lado da Delagacia), Centro Porto Grande/AM. CEP: 68.997-000";"Municipal";"Norte";
;"AP";"Pracuúba";"Coordenadoria  de  Politicas para as Mulheres";"juscelino18@hotmail.com ";"(96) 3424-1174 / 3424-1184 / 8807-7910";"Rua Principal s/n - Prédio da Prefeitura Pracuúba/AP. CEP: ";"Municipal";"Norte";
;"AP";"Santana";"Coordenadoria  de  Politicas para as Mulheres";"smulheres-pms@hotmail";"(96) 3283-5680 / 9127-7717 / 9134-6083 / 9143-8734 / 8134-1836";"Av. Castro Alves,2690. Paraiso. Santana/AP - CEP: 68.928-051 ";"Municipal";"Norte";
;"AP";"Serra do Navio";"Coordenadoria Especial da Mulher";"Coordenadoria .mulher.snv@gmail.com";"(96)3321-1201 / (96) 9902-5576 ";"Rua 1, nº 530. Centro. Serra do Navio/AP. CEP: 68.948-000";"Municipal";"Norte";"26/01/2015 (Inf. Ligue 180)"
;"AP";"Vitória do Jari";"Coordenadoria Especial da Mulher";;"(96) 9139-2400 / 9117-3173";"Av. Airton Sena s/nº. Comercial.  Vitória do Jari/AP. CEP: 68.924-000";"Municipal";"Norte";
16;"Amapá";"Todas";;;;;;;
;"BA";"ESTADUAL";"Secretaria Estadual de Políticas para Mulheres";"spm@spmba.ba.gov.br agenda.spmbahia@gmail.com";"(71) 3117-2815/2817 /2872/ 9978-9160";"Av. Tancredo Neves nº 776, 3º Andar - Ed. Desenbahia/ Caminho das Árvores  Salvador - BA CEP:  41.820-904";"Estadual";"Nordeste";8/4/2014
;"BA";"SALVADOR";"Superintendência de Políticas para as Mulheres";"sepm@salvador.ba.gov.br  monica.kalile@salvador.ba.gov.br";"(71) 2108-7300 71 9950 8293 (gestora)";"Av. Sete de Setembro, 202 - Ed. Adolpho Basbaum, 4º andar. São Bento. Salvador/BA. CEP: 40.060-001";"Capital";"Nordeste";8/4/2014
;"BA";"Alagoinhas";"Coordenadoria  de Mulheres ";"cram.alagoinhas@yahoo.com.br ";"(75) 3422-1422";"Rua Severino Vieira, nº 1077, centro. Alagoinhas/BA. CEP 48005-460";"Municipal";"Nordeste";8/4/2014
;"BA";"Amargosa";"Coordenadoria Políticas para as Mulheres";"amargosa@amargosa.ba.gov.br";"75-363- 43977 8128-8487/ 8839-1346";"Praça Lourival Monte S/N. Amargosa/ BA Cep: 45.300-000";"Municipal";"Nordeste";
;"BA";"Amélia Rodrigues";"Coordenadoria Geral da Mulher ";;"75-32424616/ 75-81861184";"Rua Justiniano Silva, 98 - Centro - Amélia Rodrigues/BA - CEP: 44230-000";"Municipal";"Nordeste";
;"BA";"Araci";"Superintendência de Políticas para as Mulheres";"dpaz102010@hotmail.com lazaro_dardind@hotmail.com";"75 3266 1660/ 2144 / 75 9181-2691";"Praça José Ferreira, 60. CentroAraci/BA, Centro, CEP: 48.750-000";"Municipal";"Nordeste";
;"BA";"Barreiras";"Coordenação de Políticas para as Mulheres";;"77 9911-9811/9116-3702";;"Municipal";"Nordeste";
;"BA";"Bom Jesus da Lapa";"Gerência de Políticas para as Mulheres";"sepesbjl@hotmail.com ";"(77) 91238114 77) 3481-4212 / 74619946-03379144-0653 Prefeitura 773481-5777";"Rua Oriente Médio 1275. Nossa senhora da Soledade Bom Jesus da Lapa/BA. CEP: 47.600-000";"Municipal";"Nordeste";
;"BA";"Camaçari";"Secretaria da Mulher";"seprom.camacari@gmail.com mulhercamacari@gmail.com";"(71) 3644-5763 / 5764 9 (71)9979-6148.";"Av.  Francisco Drummond 391,  Ed. Alzira Dias. Térreo.  Centro. Camaçari/BA - CEP: 42.800-500";"Municipal";"Nordeste";
;"BA";"Candeias";"Núcleo de Apoio à Mulher";;;;;;
;"BA";"Cansanção";"Coordenadoria Municipal de Promoção de Igualdade e das Mulheres";"ericapjmp@hotmail.com semascansancaoba@hotmail.com cmpirgcansancaoba@outlook.com";"(75) 9172-3912/ (75) 3274-1524";" Rua Nonato Marques. Cansanção/BA CEP: 48.840-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Capela do Alto Alegre";"Núcleo de Apoio à Mulher";;"75 3690-2381/3690-2322/8252-2569";;;;
;"BA";"Carinhanha";"Secretaria Municipal dos Direitos da Cidadania e Proteção Social";;"77- 3485-2629 / 77 - 9981-0580";"Rua Francisco Timoteo, 06. Carinhanha/BA CEP: 46.445-000";"Municipal";"Nordeste";
;"BA";"Conceição do Almeida";"Departamento de Mulheres";"crrmmj@hotmail.com ";"(75) 36292106 / 81058168";"Rua Dr. Edgar Tupinambá.  Conceição do Almeida/BA CEP: 44.540-970";"Municipal";"Nordeste";21/7/2014
;"BA";"Conceição do Coité";"Departamento de Políticas para as Mulheres";"dpmcoite@hotmail.com ";"75-3262-5946/5940/ 5931/ 8236-5191/ 91621032";"Praca Theognes Calisto, 58, Gravata. Conceição do Coité/BA. CEP: 48.730-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Cruz das Almas";"Departamento de Políticas para as Mulheres";"politicasespeciais@cruzdasalmas.ba.gov.br ";"75-3621-5400/ 75-81935493";"Centro Administrativo Municipal de Cruz das Almas, Praça Sumauma, s/n, Lauro Passos. Cruz das Alma/BA. CEP: 44.380-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Entre Rios";"Secretaria Municipal de Defesa dos Direitos da Mulher";"entrerios.mulher@outlook.com";"75-9979-5315";"R. Dom Bosco, s/n. Centro. Entre Rios/BA. CEP: 48.180-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Esplanada";"Diretoria de Politícas Públicas para Mulheres";;"(75) 3427-1194/9924-1524";"Travessa Amélio Ferreira Batista. 15A. Esplanada/ BA. CEP: 48.370-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Feira de Santana";"Departamento Municipal de Igualdade de Gênero";"divisaodamulher@pmfs.ba.gov.br ";"(75) 3226-1049 / 9164-1420";"Av. Getúlio Vargas, 3417, Santa Monica. Feira de Santana/BA. CEP: 44.077-005";"Municipal";"Nordeste";16/4/2014
;"BA";"Governador Mangabeira";"Coordenadoria Políticas para as Mulheres";"sepromimangabeira@hotmail.com";"(75) 36382351 / 8311-3126 ou  / 8100-2000
";" Rua Manoel Machado Pedreira, n° 161. Centro. Governador Mangabeira/BA CEP: 44.350-000";"Municipal";"Nordeste";"08/05/2015 (por email)"
;"BA";"Ibititá";"Secretaria de Apoio à Mulher";"mulher.ibitita@yahoo.com.br";"(74) 3652-1100";"Praça Senhor do Bonfim. Ibititá/BA. CEP: 44.960-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Inhambupe";"Departamento da Mulher";"departamentodamulher@yahoo.com.br";"75 3431-2134/ 75 98049987";"Av. José Paulo, N° 25 - Centro. Inhambupe/BA. CEP 48.490-000";"Municipal";"Nordeste";
;"BA";"Irecê";"Coordenadoria de Apoio às Políticas para Mulheres";;"(74) 3641-4765 / 2108";"Rua São Camilo, nº 29. Copirecê/BA. CEP: 44.900-000";"Municipal";"Nordeste";
;"BA";"Itabuna";"Divisão de Combate à violencia Contra a Mulher";;"73 3613-5610/8831-2968";;;;
;"BA";"Itaguaçu da Bahia ";"Secretaria Municipal de Políticas Públicas para as Mulheres";;"74 3644-1056 /1015 / 9995-4885";"Rua Deputado Renaldo Braga n. 154. Centro. Itaguaçu da Bahia /BA. CEP: 47.440-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Itaju do Colônia";"Coordenação Especial dos Direitos da Mulher";;"(73)8179-1898/";"Rua Santa Cruz da Vitória, nº 19.Centro. Itaju do Colônia/BA CEP: 45730-000";"Municipal";"Nordeste";"02/02/2015 (inf Ligue 180)"
;"BA";"Itapicuru";"Departamento das Mulheres";;" (71) 9971-3938";"Travessa Barão de Geremoabo. Itapicuru/BA. CEP: 48.475-000";"Municipal";"Nordeste";14/4/2014
;"BA";"Itatin";"Departamento de Mulheres";"cemaspmitatin@gmail.com ";"(75) 8199-8525 /3452-2166 / (71) 8831-8377";"Rua São João XXIII, nº 225 - Centro - Itatim/BA - CEP: 46.875-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Itiúba";"Coordenadoria de Promoção da Igualdade Racial e de Gênero - CPIRG";"eloamadureira@hotmail.com ";"(74) 3546-1737 (74) 9191-2811";"Praça Ari Silva s/n. Itiuba/BA. CEP: 48.850-000";"Municipal";"Nordeste";8/4/2014
;"BA";"Ituberá";"Coordenação de Políticas de Igualdade Racial e de Gênero";"sec_social@itubera.ba.gov.br";"(73)3256-3272";"Rua Renato Braga, nº 25. Centro. Ituberá/BA. CEP: 45.435-000 (Ref.: Em frente ao terminal) ";"Municipal";"Nordeste";"18/02/2015 (inf. Ligue 180)"
;"BA";"Jacobina";"Coordenadoria de Proteçao à Mulher";"acaosocial@jacobina.ba.gov.br  ";"(74) 3621-5482 74 81382790";"R. Senador Pedro  Lago, 94. Centro. Jacobina/BA. CEP: 44.700-000";"Municipal";"Nordeste";
;"BA";"Juazeiro";"Gerência de Proteção Especial à Mulher";;"(74) 99947536 (74)36123056";"Rua Imaculada Conceição, S/Nº. Juazeiro/BA. CEP: 48.900-120";"Municipal";"Nordeste";8/1/2014
;"BA";"Lauro de Freitas";"Secretaria Municipal de Políticas para Mulheres";"departamentogenero.spm@gmail.com";"(71) 3369-6598 / (71) 3289-1032";"Rua Praia de Pajuçara, S/N, Vilas do Atlântico, Lauro de Freitas/BA. CEP: 42.700-000";"Municipal";"Nordeste";
;"BA";"Maragojipe";"Secretaria de Reparação Racial e da Mulher";"pmm.serr@gmail.com";"(75) 3526-2509 / 75-99620527";"Praça 15 de novembro, 18. Areal. Maragogipe/BA. CEP: 44.420-000";"Municipal";"Nordeste";8/4/2014
