UF;Faixa Etária;Mulheres
Rio de Janeiro;15 a 49 anos;4380940
Rio Grande do Norte;15 a 49 anos;989818
Rio Grande do Sul;15 a 49 anos;2907234
Rondônia;15 a 49 anos;493702
Roraima;15 a 49 anos;139715
Santa Catarina;15 a 49 anos;1822193
São Paulo;15 a 49 anos;12154669
Sergipe;15 a 49 anos;628207
Tocantins;15 a 49 anos;402577
Todas as UFs;15 a 49 anos;55419839
Acre;20 a 49 anos;176559
Alagoas;20 a 49 anos;760448
Amapá;20 a 49 anos;174744
Amazonas;20 a 49 anos;877777
Bahia;20 a 49 anos;3514835
Ceará;20 a 49 anos;1978778
Distrito Federal;20 a 49 anos;731268
Espírito Santo;20 a 49 anos;922733
Goiás;20 a 49 anos;1521272
Maranhão;20 a 49 anos;1477288
Mato Grosso;20 a 49 anos;770681
Mato Grosso do Sul;20 a 49 anos;619926
Minas Gerais;20 a 49 anos;4768561
Pará;20 a 49 anos;1803925
Paraíba;20 a 49 anos;911177
Paraná;20 a 49 anos;2563333
Pernambuco;20 a 49 anos;2139587
Piauí;20 a 49 anos;732614
Rio de Janeiro;20 a 49 anos;3743834
Rio Grande do Norte;20 a 49 anos;825189
Rio Grande do Sul;20 a 49 anos;2460871
Rondônia;20 a 49 anos;426958
Roraima;20 a 49 anos;116520
Santa Catarina;20 a 49 anos;1545392
São Paulo;20 a 49 anos;10396285
Sergipe;20 a 49 anos;521942
Tocantins;20 a 49 anos;337014
Todas as UFs;20 a 49 anos;46819511
Acre;Mulheres de 15 a 49 anos;54.9
Alagoas;Mulheres de 15 a 49 anos;54.6
Amapá;Mulheres de 15 a 49 anos;57.1
Amazonas;Mulheres de 15 a 49 anos;54.8
Bahia;Mulheres de 15 a 49 anos;53.5
Ceará;Mulheres de 15 a 49 anos;52.7
Distrito Federal;Mulheres de 15 a 49 anos;57.2
Espírito Santo;Mulheres de 15 a 49 anos;53.6
Goiás;Mulheres de 15 a 49 anos;54.2
Maranhão;Mulheres de 15 a 49 anos;51.6
Mato Grosso;Mulheres de 15 a 49 anos;55.6
Mato Grosso do Sul;Mulheres de 15 a 49 anos;53.8
Minas Gerais;Mulheres de 15 a 49 anos;52.9
Pará;Mulheres de 15 a 49 anos;54.3
Paraíba;Mulheres de 15 a 49 anos;52.5
Paraná;Mulheres de 15 a 49 anos;52.6
Pernambuco;Mulheres de 15 a 49 anos;52.3
Piauí;Mulheres de 15 a 49 anos;53.6
Rio de Janeiro;Mulheres de 15 a 49 anos;50.1
Rio Grande do Norte;Mulheres de 15 a 49 anos;55.7
Rio Grande do Sul;Mulheres de 15 a 49 anos;49.8
Rondônia;Mulheres de 15 a 49 anos;56.5
Roraima;Mulheres de 15 a 49 anos;55.5
Santa Catarina;Mulheres de 15 a 49 anos;52.7
São Paulo;Todas as mulheres;53.1
Sergipe;Todas as mulheres;55.3
Tocantins;Todas as mulheres;53.5
Todas as UFs;Todas as mulheres;52.9
