"UF";"Posição";"Mulheres";"Homens"
"Goiás";"Trabalhador/a na produção para o próprio consumo";55704;24058
"Maranhão";"Conta Própria";109625;330423
"Maranhão";"Empregada/o com carteira assinada";0;2301
"Maranhão";"Empregada/o sem carteira assinada";0;59036
"Maranhão";"Empregador/a";0;3831
"Maranhão";"Não remunerado";2118957;1650606
"Maranhão";"Trabalhador/a na produção para o próprio consumo";272133;189361
"Mato Grosso";"Conta Própria";8144;80969
"Mato Grosso";"Empregada/o com carteira assinada";429;2571
"Mato Grosso";"Empregada/o sem carteira assinada";858;15425
"Mato Grosso";"Empregador/a";857;5999
"Mato Grosso";"Não remunerado";1160983;1093699
"Mato Grosso";"Trabalhador/a na produção para o próprio consumo";23565;17998
"Mato Grosso do Sul";"Conta Própria";4632;29916
"Mato Grosso do Sul";"Empregada/o com carteira assinada";421;1687
"Mato Grosso do Sul";"Empregada/o sem carteira assinada";843;4636
"Mato Grosso do Sul";"Empregador/a";0;5479
"Mato Grosso do Sul";"Não remunerado";974760;912345
"Mato Grosso do Sul";"Trabalhador/a na produção para o próprio consumo";40038;9692
"Minas Gerais";"Conta Própria";44373;378768
"Minas Gerais";"Empregada/o com carteira assinada";1512;12620
"Minas Gerais";"Empregada/o sem carteira assinada";20819;141489
"Minas Gerais";"Empregador/a";6456;55711
"Minas Gerais";"Não remunerado";7960115;6995447
"Minas Gerais";"Trabalhador/a na produção para o próprio consumo";380954;202714
"Pará";"Conta Própria";20943;250825
"Pará";"Empregada/o com carteira assinada";0;18486
"Pará";"Empregada/o sem carteira assinada";4508;32466
"Pará";"Empregador/a";0;14461
"Pará";"Não remunerado";2713760;2418605
"Pará";"Trabalhador/a na produção para o próprio consumo";135035;63484
"Paraíba";"Conta Própria";13078;59167
"Paraíba";"Empregada/o com carteira assinada";0;1246
"Paraíba";"Empregada/o sem carteira assinada";1245;31139
"Paraíba";"Empregador/a";622;3114
"Paraíba";"Não remunerado";1459884;1219470
"Paraíba";"Trabalhador/a na produção para o próprio consumo";90308;79724
"Paraná";"Conta Própria";45474;187943
"Paraná";"Empregada/o com carteira assinada";3936;20336
"Paraná";"Empregada/o sem carteira assinada";8137;32018
"Paraná";"Empregador/a";461;11809
"Paraná";"Não remunerado";4321828;3854192
"Paraná";"Trabalhador/a na produção para o próprio consumo";83276;51521
"Pernambuco";"Conta Própria";41110;149009
"Pernambuco";"Empregada/o com carteira assinada";0;4014
"Pernambuco";"Empregada/o sem carteira assinada";20286;53902
"Pernambuco";"Empregador/a";749;6743
"Pernambuco";"Não remunerado";3574623;2941225
"Pernambuco";"Trabalhador/a na produção para o próprio consumo";114853;93336
"Piauí";"Conta Própria";26349;140699
"Piauí";"Empregada/o com carteira assinada";560;6725
"Piauí";"Empregada/o sem carteira assinada";560;48768
"Piauí";"Empregador/a";1120;6724
"Piauí";"Não remunerado";1071212;838044
"Piauí";"Trabalhador/a na produção para o próprio consumo";145182;87456
"Rio de Janeiro";"Conta Própria";5807;38099
"Rio de Janeiro";"Empregada/o com carteira assinada";0;5802
"Rio de Janeiro";"Empregada/o sem carteira assinada";0;1934
"Rio de Janeiro";"Empregador/a";644;2580
"Rio de Janeiro";"Não remunerado";7085999;6030600
"Rio de Janeiro";"Trabalhador/a na produção para o próprio consumo";2583;8385
"Rio Grande do Norte";"Conta Própria";8096;52624
"Rio Grande do Norte";"Empregada/o com carteira assinada";0;13495
"Rio Grande do Norte";"Empregada/o sem carteira assinada";3374;28339
"Rio Grande do Norte";"Empregador/a";0;1350
"Rio Grande do Norte";"Não remunerado";1313014;1080235
"Rio Grande do Norte";"Trabalhador/a na produção para o próprio consumo";51953;57352
"Rio Grande do Sul";"Conta Própria";48025;312156
"Rio Grande do Sul";"Empregada/o com carteira assinada";2123;8281
"Rio Grande do Sul";"Empregada/o sem carteira assinada";4245;25725
"Rio Grande do Sul";"Empregador/a";2830;19186
"Rio Grande do Sul";"Não remunerado";4489233;3729785
"Rio Grande do Sul";"Trabalhador/a na produção para o próprio consumo";190882;135877
"Rondônia";"Conta Própria";5291;75078
"Rondônia";"Empregada/o com carteira assinada";0;755
"Rondônia";"Empregada/o sem carteira assinada";0;10583
"Rondônia";"Empregador/a";252;3276
"Rondônia";"Não remunerado";601024;535502
"Rondônia";"Trabalhador/a na produção para o próprio consumo";34506;11084
"Roraima";"Conta Própria";2282;20529
"Roraima";"Empregada/o com carteira assinada";0;190
"Roraima";"Empregada/o sem carteira assinada";0;2280
"Roraima";"Empregador/a";0;952
"Roraima";"Não remunerado";168033;150558
"Roraima";"Trabalhador/a na produção para o próprio consumo";5321;2281
"Santa Catarina";"Conta Própria";41723;161358
"Santa Catarina";"Empregada/o com carteira assinada";696;4871
"Santa Catarina";"Empregada/o sem carteira assinada";2085;9044
"Santa Catarina";"Empregador/a";0;4173
"Santa Catarina";"Não remunerado";2692275;2366053
"Santa Catarina";"Trabalhador/a na produção para o próprio consumo";46600;37557
"São Paulo";"Conta Própria";15393;99021
"São Paulo";"Empregada/o com carteira assinada";6656;15535
"São Paulo";"Empregada/o sem carteira assinada";21081;59773
"São Paulo";"Empregador/a";3329;32108
"São Paulo";"Não remunerado";18270639;16328358
"São Paulo";"Trabalhador/a na produção para o próprio consumo";40773;25171
"Sergipe";"Conta Própria";21328;62889
"Sergipe";"Empregada/o com carteira assinada";0;723
"Sergipe";"Empregada/o sem carteira assinada";3975;30004
"Sergipe";"Empregador/a";361;4339
"Sergipe";"Não remunerado";805657;648413
"Sergipe";"Trabalhador/a na produção para o próprio consumo";44100;21686
"Tocantins";"Conta Própria";7397;38783
"Tocantins";"Empregada/o com carteira assinada";0;765
"Tocantins";"Empregada/o sem carteira assinada";255;18364
"Tocantins";"Empregador/a";0;3570
"Tocantins";"Não remunerado";497216;449505
"Tocantins";"Trabalhador/a na produção para o próprio consumo";41330;30609
"Todas as UFs";"Conta Própria";659913;3530028
"Todas as UFs";"Empregada/o com carteira assinada";22517;151011
"Todas as UFs";"Empregada/o sem carteira assinada";146165;971132
"Todas as UFs";"Empregador/a";23103;245430
"Todas as UFs";"Não remunerado";78244547;67550046
"Todas as UFs";"Trabalhador/a na produção para o próprio consumo";2446681;1727862
